timestamp,co_sensor_mg_m3,nox_sensor_ppb,no2_sensor_microg_m3,temperature_c,relative_humidity_percent,absolute_humidity_g_m3
2004-03-17 23:00:00,2.6,178.0,127.0,16.0,50.9,0.9206
2004-03-18 00:00:00,2.3,154.0,116.0,14.8,53.9,0.9024
2004-03-18 01:00:00,1.4,92.0,107.0,14.3,55.4,0.8975
2004-03-18 02:00:00,1.0,61.0,88.0,14.8,52.1,0.8686
2004-03-18 03:00:00,0.7,61.0,88.0,13.9,53.9,0.8501
2004-03-18 05:00:00,0.6,37.0,57.0,12.0,58.9,0.8233
2004-03-18 06:00:00,0.7,68.0,71.0,10.9,62.1,0.8113
2004-03-18 07:00:00,1.5,139.0,85.0,10.6,63.3,0.8067
2004-03-18 08:00:00,4.7,339.0,124.0,11.5,60.0,0.8117
2004-03-18 09:00:00,6.6,421.0,151.0,14.3,50.6,0.8186
2004-03-18 10:00:00,4.5,349.0,150.0,17.8,40.5,0.821
2004-03-18 11:00:00,2.8,224.0,152.0,20.8,34.4,0.8365
2004-03-18 12:00:00,2.2,171.0,139.0,23.8,28.2,0.8219
2004-03-18 13:00:00,2.2,149.0,133.0,24.2,28.7,0.8515
2004-03-18 14:00:00,2.3,137.0,126.0,25.2,24.9,0.7829
2004-03-18 15:00:00,2.2,149.0,128.0,27.0,17.8,0.6275
2004-03-18 16:00:00,2.8,172.0,169.0,27.1,23.1,0.818
2004-03-18 17:00:00,2.7,166.0,149.0,25.8,23.9,0.7832
2004-03-18 18:00:00,3.7,214.0,156.0,23.0,26.8,0.7446
2004-03-18 19:00:00,5.1,280.0,168.0,20.7,31.1,0.7523
2004-03-18 20:00:00,5.1,276.0,176.0,18.6,36.2,0.7676
2004-03-18 21:00:00,3.2,178.0,135.0,16.0,48.4,0.8768
2004-03-18 22:00:00,2.1,129.0,121.0,14.5,57.8,0.9456
2004-03-18 23:00:00,1.7,95.0,99.0,13.1,64.2,0.9606
2004-03-19 00:00:00,2.0,126.0,106.0,12.0,69.7,0.9735
2004-03-19 01:00:00,1.6,103.0,96.0,11.9,71.1,0.9915
2004-03-19 02:00:00,0.9,48.0,63.0,12.5,69.3,1.0029
2004-03-19 03:00:00,0.7,48.0,63.0,12.5,67.5,0.9768
2004-03-19 05:00:00,0.5,18.0,28.0,12.5,66.8,0.962
2004-03-19 06:00:00,0.7,56.0,61.0,12.3,66.3,0.9487
2004-03-19 07:00:00,1.5,115.0,99.0,12.4,64.9,0.9332
2004-03-19 08:00:00,4.8,320.0,157.0,13.0,61.6,0.9209
2004-03-19 09:00:00,6.2,357.0,166.0,13.6,58.8,0.912
2004-03-19 10:00:00,4.0,253.0,149.0,13.9,57.1,0.9032
2004-03-19 11:00:00,3.3,218.0,135.0,14.5,54.4,0.8917
2004-03-19 12:00:00,2.8,192.0,127.0,15.5,50.1,0.8744
2004-03-19 13:00:00,3.0,176.0,122.0,16.1,47.6,0.8655
2004-03-19 14:00:00,3.3,198.0,135.0,16.3,47.1,0.864
2004-03-19 15:00:00,3.5,212.0,139.0,16.4,47.5,0.8791
2004-03-19 16:00:00,4.0,249.0,147.0,16.1,50.2,0.9094
2004-03-19 17:00:00,4.6,270.0,158.0,16.0,50.7,0.9142
2004-03-19 18:00:00,4.1,231.0,146.0,15.8,50.3,0.8989
2004-03-19 19:00:00,4.5,251.0,144.0,15.5,50.6,0.884
2004-03-19 20:00:00,3.9,210.0,138.0,15.4,51.4,0.8956
2004-03-19 21:00:00,4.0,249.0,143.0,15.2,53.1,0.9117
2004-03-19 22:00:00,2.2,143.0,116.0,14.7,57.6,0.9573
2004-03-19 23:00:00,2.1,127.0,109.0,14.2,58.3,0.938
2004-03-20 00:00:00,1.7,104.0,92.0,13.8,57.9,0.9085
2004-03-20 01:00:00,1.6,86.0,83.0,13.9,55.9,0.8842
2004-03-20 02:00:00,1.3,74.0,81.0,13.9,55.6,0.8765
2004-03-20 03:00:00,1.3,74.0,81.0,13.8,55.1,0.8666
2004-03-20 05:00:00,0.8,42.0,53.0,13.6,55.1,0.856
2004-03-20 06:00:00,0.8,63.0,67.0,13.6,59.0,0.9129
2004-03-20 07:00:00,1.1,115.0,91.0,13.5,58.4,0.896
2004-03-20 08:00:00,2.1,170.0,113.0,13.8,58.0,0.9083
2004-03-20 09:00:00,2.4,147.0,102.0,14.6,53.1,0.8765
2004-03-20 10:00:00,2.6,166.0,107.0,15.0,52.3,0.8881
2004-03-20 11:00:00,2.8,195.0,113.0,15.4,52.1,0.9046
2004-03-20 12:00:00,2.6,182.0,108.0,16.3,50.0,0.9158
2004-03-20 13:00:00,2.6,168.0,105.0,17.1,47.9,0.9281
2004-03-20 14:00:00,2.1,125.0,93.0,19.0,42.9,0.937
2004-03-20 15:00:00,1.7,95.0,87.0,19.5,42.3,0.9476
2004-03-20 16:00:00,1.6,79.0,76.0,19.5,42.3,0.9493
2004-03-20 17:00:00,2.1,119.0,94.0,19.1,43.8,0.9556
2004-03-20 18:00:00,2.3,142.0,110.0,18.5,46.3,0.9744
2004-03-20 19:00:00,3.5,215.0,136.0,17.4,51.6,1.0159
2004-03-20 20:00:00,3.9,229.0,139.0,17.1,51.3,0.9914
2004-03-20 21:00:00,3.3,206.0,125.0,16.4,53.8,0.9964
2004-03-20 22:00:00,2.3,147.0,111.0,16.2,55.4,1.0132
2004-03-20 23:00:00,2.1,122.0,97.0,15.9,57.7,1.0356
2004-03-21 00:00:00,2.8,175.0,107.0,15.7,58.6,1.0396
2004-03-21 01:00:00,2.1,133.0,90.0,15.1,60.9,1.0398
2004-03-21 02:00:00,1.6,89.0,84.0,15.6,56.6,0.9951
2004-03-21 03:00:00,1.6,89.0,84.0,15.2,57.9,0.9941
2004-03-21 05:00:00,1.1,55.0,66.0,14.9,60.6,1.0196
2004-03-21 06:00:00,0.7,24.0,36.0,14.5,63.0,1.0316
2004-03-21 07:00:00,0.8,72.0,62.0,14.2,66.2,1.063
2004-03-21 08:00:00,1.2,122.0,91.0,14.5,65.3,1.0704
2004-03-21 09:00:00,1.4,111.0,89.0,15.3,62.1,1.073
2004-03-21 10:00:00,1.7,123.0,93.0,16.3,59.0,1.0868
2004-03-21 11:00:00,1.8,106.0,81.0,18.9,49.6,1.07
2004-03-21 12:00:00,1.8,103.0,82.0,19.4,46.1,1.0249
2004-03-21 13:00:00,1.9,102.0,80.0,20.8,41.6,1.0091
2004-03-21 14:00:00,1.3,48.0,48.0,21.4,40.3,1.0126
2004-03-21 15:00:00,1.6,63.0,61.0,21.2,39.3,0.9791
2004-03-21 16:00:00,1.9,98.0,89.0,20.3,38.0,0.8942
2004-03-21 17:00:00,2.3,132.0,105.0,19.4,41.3,0.9206
2004-03-21 18:00:00,3.8,173.0,116.0,18.5,43.8,0.9252
2004-03-21 19:00:00,3.5,185.0,119.0,17.8,48.1,0.9689
2004-03-21 20:00:00,4.3,266.0,144.0,17.9,46.9,0.952
2004-03-21 21:00:00,2.8,188.0,123.0,17.4,49.1,0.9688
2004-03-21 22:00:00,1.9,122.0,105.0,17.0,51.7,0.9914
2004-03-21 23:00:00,1.9,112.0,93.0,16.4,55.1,1.0198
2004-03-22 00:00:00,1.7,93.0,86.0,16.1,60.0,1.0919
2004-03-22 01:00:00,1.5,74.0,76.0,15.8,60.5,1.0805
2004-03-22 02:00:00,0.6,23.0,33.0,16.3,57.0,1.0491
2004-03-22 03:00:00,0.4,23.0,33.0,16.9,53.9,1.0309
2004-03-22 05:00:00,0.3,15.0,23.0,16.5,53.9,1.0049
2004-03-22 06:00:00,0.6,41.0,46.0,16.4,54.0,0.9979
2004-03-22 07:00:00,1.2,86.0,76.0,15.7,57.6,1.0195
2004-03-22 08:00:00,3.6,226.0,116.0,15.8,53.7,0.9571
2004-03-22 09:00:00,3.7,214.0,115.0,17.4,42.1,0.8281
2004-03-22 10:00:00,1.8,115.0,83.0,17.9,38.4,0.7793
2004-03-22 11:00:00,1.6,124.0,87.0,18.5,36.7,0.7764
2004-03-22 12:00:00,1.9,122.0,90.0,21.0,29.6,0.7263
2004-03-22 13:00:00,2.0,107.0,87.0,21.3,28.1,0.7067
2004-03-22 14:00:00,2.2,133.0,99.0,21.3,26.1,0.6539
2004-03-22 15:00:00,2.1,130.0,99.0,21.3,26.8,0.6681
2004-03-22 16:00:00,2.3,150.0,101.0,21.3,24.2,0.606
2004-03-22 17:00:00,2.6,138.0,103.0,20.2,28.5,0.6682
2004-03-22 18:00:00,3.8,213.0,129.0,17.0,43.1,0.8264
2004-03-22 19:00:00,4.4,232.0,143.0,15.6,47.4,0.8347
2004-03-22 20:00:00,4.5,238.0,146.0,15.3,47.4,0.8178
2004-03-22 21:00:00,3.3,180.0,124.0,14.5,49.7,0.8177
2004-03-22 22:00:00,2.0,128.0,113.0,13.9,52.0,0.8231
2004-03-22 23:00:00,1.1,65.0,80.0,14.5,49.4,0.8106
2004-03-23 00:00:00,0.9,53.0,72.0,13.8,51.4,0.8071
2004-03-23 01:00:00,0.8,47.0,64.0,14.0,51.3,0.8163
2004-03-23 02:00:00,0.7,51.0,70.0,13.0,56.8,0.8444
2004-03-23 03:00:00,0.5,51.0,70.0,11.0,70.0,0.9215
2004-03-23 05:00:00,0.3,13.0,22.0,8.8,80.5,0.9147
2004-03-23 06:00:00,0.5,33.0,47.0,9.6,75.4,0.9004
2004-03-23 07:00:00,1.1,103.0,88.0,9.8,75.0,0.9093
2004-03-23 08:00:00,3.0,224.0,130.0,10.0,74.2,0.9117
2004-03-23 09:00:00,3.8,244.0,132.0,11.2,69.7,0.9232
2004-03-23 10:00:00,3.4,237.0,132.0,12.0,62.9,0.8803
2004-03-23 11:00:00,3.0,220.0,131.0,12.8,55.8,0.821
2004-03-23 12:00:00,2.7,207.0,129.0,13.1,54.8,0.8234
2004-03-23 13:00:00,3.5,208.0,132.0,13.8,53.4,0.8351
2004-03-23 14:00:00,2.8,160.0,110.0,16.0,42.4,0.7674
2004-03-23 15:00:00,1.9,131.0,99.0,14.1,49.8,0.7971
2004-03-23 16:00:00,2.0,128.0,100.0,12.0,61.1,0.8537
2004-03-23 17:00:00,3.0,176.0,122.0,13.6,54.6,0.8465
2004-03-23 18:00:00,1.9,107.0,97.0,13.7,49.5,0.7695
2004-03-23 19:00:00,2.7,131.0,112.0,11.7,57.1,0.7822
2004-03-23 20:00:00,3.3,166.0,128.0,11.5,58.2,0.7867
2004-03-23 21:00:00,1.7,89.0,101.0,12.6,54.2,0.7881
2004-03-23 22:00:00,1.3,81.0,96.0,12.0,54.9,0.7664
2004-03-23 23:00:00,1.3,78.0,86.0,11.0,61.4,0.8057
2004-03-24 00:00:00,1.2,70.0,85.0,11.1,62.2,0.8199
2004-03-24 01:00:00,1.1,76.0,79.0,10.8,62.5,0.8082
2004-03-24 02:00:00,0.9,43.0,61.0,11.3,60.0,0.8025
2004-03-24 03:00:00,0.6,43.0,61.0,10.6,61.6,0.7856
2004-03-24 05:00:00,0.6,34.0,54.0,10.9,58.6,0.7628
2004-03-24 06:00:00,0.8,43.0,57.0,10.8,57.2,0.7382
2004-03-24 07:00:00,1.2,79.0,75.0,10.4,59.2,0.7455
2004-03-24 08:00:00,3.1,174.0,97.0,11.0,57.3,0.7501
2004-03-24 09:00:00,4.4,235.0,110.0,11.2,56.9,0.7565
2004-03-24 10:00:00,3.4,218.0,113.0,12.1,54.9,0.7734
2004-03-24 11:00:00,1.7,136.0,88.0,15.1,44.3,0.7535
2004-03-24 12:00:00,1.5,117.0,85.0,15.6,40.6,0.7146
2004-03-24 13:00:00,1.7,119.0,96.0,16.9,34.6,0.6597
2004-03-24 14:00:00,2.2,126.0,106.0,16.6,35.6,0.6697
2004-03-24 16:00:00,2.7,197.0,126.0,9.6,81.1,0.972
2004-03-24 17:00:00,2.8,195.0,130.0,11.7,69.1,0.9497
2004-03-24 18:00:00,2.7,156.0,111.0,10.7,68.5,0.8794
2004-03-24 19:00:00,4.5,247.0,134.0,10.7,67.3,0.8643
2004-03-24 20:00:00,3.5,190.0,136.0,10.8,65.7,0.8486
2004-03-24 21:00:00,2.6,169.0,125.0,10.3,66.3,0.8336
2004-03-24 22:00:00,1.7,118.0,108.0,10.1,66.9,0.8248
2004-03-24 23:00:00,1.3,81.0,87.0,10.4,61.1,0.7717
2004-03-25 00:00:00,1.3,80.0,89.0,10.3,59.9,0.7516
2004-03-25 01:00:00,1.0,42.0,58.0,11.0,58.4,0.7686
2004-03-25 02:00:00,0.7,38.0,54.0,9.1,68.1,0.789
2004-03-25 03:00:00,0.7,38.0,54.0,9.5,68.2,0.8091
2004-03-25 04:00:00,0.5,18.0,28.0,9.3,72.3,0.8496
2004-03-25 05:00:00,0.5,12.0,20.0,9.9,66.8,0.8152
2004-03-25 06:00:00,0.6,43.0,51.0,7.6,83.2,0.8695
2004-03-25 07:00:00,1.1,84.0,82.0,8.1,79.0,0.8544
2004-03-25 08:00:00,2.7,184.0,112.0,8.7,74.6,0.8429
2004-03-25 09:00:00,3.5,202.0,119.0,8.6,75.1,0.8415
2004-03-25 10:00:00,2.3,133.0,99.0,9.7,69.7,0.8389
2004-03-25 11:00:00,1.6,130.0,98.0,11.0,64.4,0.8447
2004-03-25 12:00:00,1.3,106.0,88.0,13.6,53.0,0.8209
2004-03-25 13:00:00,2.0,132.0,96.0,14.2,48.4,0.778
2004-03-25 14:00:00,1.9,106.0,81.0,14.2,46.3,0.7438
2004-03-25 15:00:00,1.9,125.0,92.0,16.0,41.3,0.7462
2004-03-25 16:00:00,2.2,138.0,105.0,17.7,35.4,0.7094
2004-03-25 17:00:00,2.0,120.0,88.0,17.1,37.4,0.7225
2004-03-25 18:00:00,2.9,158.0,103.0,14.9,40.5,0.6835
2004-03-25 19:00:00,5.2,253.0,141.0,13.4,47.8,0.7293
2004-03-25 20:00:00,4.6,231.0,133.0,12.6,52.5,0.7642
2004-03-25 21:00:00,2.5,150.0,119.0,12.2,53.2,0.7555
2004-03-25 22:00:00,1.5,99.0,106.0,10.6,56.1,0.714
2004-03-25 23:00:00,1.2,75.0,92.0,9.9,59.5,0.7276
2004-03-26 00:00:00,1.7,93.0,97.0,9.6,61.1,0.7323
2004-03-26 01:00:00,1.4,79.0,91.0,9.7,61.6,0.7425
2004-03-26 02:00:00,1.2,67.0,83.0,9.4,62.6,0.7398
2004-03-26 03:00:00,0.6,67.0,83.0,8.2,68.5,0.7455
2004-03-26 04:00:00,0.7,45.0,59.0,8.0,69.4,0.7459
2004-03-26 05:00:00,0.8,72.0,73.0,7.7,72.4,0.7655
2004-03-26 06:00:00,0.9,103.0,78.0,8.0,71.8,0.7711
2004-03-26 07:00:00,1.6,132.0,90.0,8.5,66.3,0.7375
2004-03-26 08:00:00,3.4,239.0,110.0,9.8,59.6,0.7214
2004-03-26 09:00:00,3.8,275.0,114.0,11.2,57.0,0.7544
2004-03-26 10:00:00,3.1,232.0,119.0,14.8,44.1,0.7407
2004-03-26 11:00:00,2.7,180.0,121.0,16.8,35.3,0.6729
2004-03-26 12:00:00,2.0,112.0,97.0,19.2,27.1,0.5976
2004-03-26 13:00:00,2.3,116.0,99.0,19.1,26.2,0.5741
2004-03-26 14:00:00,1.9,103.0,85.0,16.3,30.8,0.5683
